time,inflow_m3_per_day,outflow_m3_per_day
1992-01-01T00:00:00,619488.0,
1992-01-02T00:00:00,252486.72,
1992-01-03T00:00:00,529796.16,
1992-01-04T00:00:00,886420.8,
1992-01-05T00:00:00,748759.68,
1992-01-06T00:00:00,738624.96,
1992-01-07T00:00:00,696219.84,
1992-01-08T00:00:00,661694.4,
1992-01-09T00:00:00,418400.64,
1992-01-10T00:00:00,571752.0,
1992-01-11T00:00:00,553124.16,
1992-01-12T00:00:00,340528.32,
1992-01-13T00:00:00,746020.8,
1992-01-14T00:00:00,437961.6,
1992-01-15T00:00:00,430695.36,
1992-01-16T00:00:00,1633245.12,
1992-01-17T00:00:00,447880.32,
1992-01-18T00:00:00,393068.16,
1992-01-19T00:00:00,343310.4,
1992-01-20T00:00:00,296982.72,
1992-01-21T00:00:00,263226.24,
1992-01-22T00:00:00,224233.92,
1992-01-23T00:00:00,197398.08,
1992-01-24T00:00:00,174303.36,
1992-01-25T00:00:00,221918.4,
1992-01-26T00:00:00,151580.16,
1992-01-27T00:00:00,168626.88,
1992-01-28T00:00:00,264565.44,
1992-01-29T00:00:00,292351.68,
1992-01-30T00:00:00,270449.28,
1992-01-31T00:00:00,269066.88,
1992-02-01T00:00:00,302909.76,
1992-02-02T00:00:00,207342.72,
1992-02-03T00:00:00,2093774.4,
1992-02-04T00:00:00,1077338.88,
1992-02-05T00:00:00,296904.96,
1992-02-06T00:00:00,322021.44,
1992-02-07T00:00:00,252426.24,
1992-02-08T00:00:00,293025.6,
1992-02-09T00:00:00,363545.28,
1992-02-10T00:00:00,722882.88,
1992-02-11T00:00:00,262232.64,
1992-02-12T00:00:00,200283.84,
1992-02-13T00:00:00,1269207.36,
1992-02-14T00:00:00,203584.32,
1992-02-15T00:00:00,172696.32,
1992-02-16T00:00:00,128433.6,
1992-02-17T00:00:00,119275.2,
1992-02-18T00:00:00,106963.2,
1992-02-19T00:00:00,624335.04,
1992-02-20T00:00:00,107481.6,
1992-02-21T00:00:00,109373.76,
1992-02-22T00:00:00,1162183.68,
1992-02-23T00:00:00,221598.72,
