time,volume_m3,inflow_m3_per_day,outflow_m3_per_day
1992-01-01T00:00:00,831671030.5352113,619488.0,548457.4647887324
1992-01-02T00:00:00,831371206.2692958,252486.72,552310.985915493
1992-01-03T00:00:00,831344837.9222536,529796.16,556164.5070422535
1992-01-04T00:00:00,831671240.6940846,886420.8,560018.028169014
1992-01-05T00:00:00,831856128.8247889,748759.68,563871.5492957747
1992-01-06T00:00:00,832027028.7143664,738624.96,567725.0704225352
1992-01-07T00:00:00,832151669.9628172,696219.84,571578.5915492957
1992-01-08T00:00:00,832237932.2501411,661694.4,575432.1126760563
1992-01-09T00:00:00,832077047.2563384,418400.64,579285.633802817
1992-01-10T00:00:00,832065660.1014088,571752.0,583139.1549295774
1992-01-11T00:00:00,832031791.5853525,553124.16,586992.676056338
1992-01-12T00:00:00,831781473.7081695,340528.32,590846.1971830986
1992-01-13T00:00:00,831932794.7898597,746020.8,594699.7183098592
1992-01-14T00:00:00,831772203.150423,437961.6,598553.2394366197
1992-01-15T00:00:00,831600491.7498597,430695.36,602406.7605633803
1992-01-16T00:00:00,832627476.5881696,1633245.12,606260.2816901408
1992-01-17T00:00:00,832465243.1053526,447880.32,610113.8028169014
1992-01-18T00:00:00,832244343.941409,393068.16,613967.323943662
1992-01-19T00:00:00,831969833.4963386,343310.4,617820.8450704225
1992-01-20T00:00:00,831645141.8501414,296982.72,621674.3661971831
1992-01-21T00:00:00,831282840.2028174,263226.24,625527.8873239437
1992-01-22T00:00:00,830877692.7143668,224233.92,629381.4084507042
1992-01-23T00:00:00,830441855.8647894,197398.08,633234.9295774648
1992-01-24T00:00:00,829979070.7740852,174303.36,637088.4507042253
1992-01-25T00:00:00,829560047.2022542,221918.4,640941.971830986
1992-01-26T00:00:00,829066831.8692964,151580.16,644795.4929577465
1992-01-27T00:00:00,828586809.735212,168626.88,648649.014084507
1992-01-28T00:00:00,828198872.6400007,264565.44,652502.5352112676
1992-01-29T00:00:00,827834868.2636627,292351.68,656356.0563380282
1992-01-30T00:00:00,827445107.9661978,270449.28,660209.5774647888
1992-01-31T00:00:00,827050111.7476063,269066.88,664063.0985915493
1992-02-01T00:00:00,826685104.887888,302909.76,667916.6197183098
1992-02-02T00:00:00,826220677.4670429,207342.72,671770.1408450705
1992-02-03T00:00:00,827638828.2050711,2093774.4,675623.661971831
1992-02-04T00:00:00,828036689.9019725,1077338.88,679477.1830985915
1992-02-05T00:00:00,827650264.1577471,296904.96,683330.7042253522
1992-02-06T00:00:00,827285101.372395,322021.44,687184.2253521127
1992-02-07T00:00:00,826846489.8659161,252426.24,691037.7464788733
1992-02-08T00:00:00,826444624.1983105,293025.6,694891.2676056338
1992-02-09T00:00:00,826109424.689578,363545.28,698744.7887323943
1992-02-10T00:00:00,826129709.2597189,722882.88,702598.309859155
1992-02-11T00:00:00,825685490.068733,262232.64,706451.8309859155
1992-02-12T00:00:00,825175468.5566204,200283.84,710305.352112676
1992-02-13T00:00:00,825730517.043381,1269207.36,714158.8732394367
1992-02-14T00:00:00,825216088.9690148,203584.32,718012.3943661972
1992-02-15T00:00:00,824666919.3735218,172696.32,721865.9154929578
1992-02-16T00:00:00,824069633.5369021,128433.6,725719.4366197183
1992-02-17T00:00:00,823459335.7791556,119275.2,729572.957746479
1992-02-18T00:00:00,822832872.5002824,106963.2,733426.4788732395
1992-02-19T00:00:00,822719927.5402824,624335.04,737280.0
1992-02-20T00:00:00,822086275.6191556,107481.6,741133.5211267606
1992-02-21T00:00:00,821450662.3369021,109373.76,744987.0422535212
1992-02-22T00:00:00,821864005.4535218,1162183.68,748840.5633802818
1992-02-23T00:00:00,821332910.0890148,221598.72,752694.0845070423
1992-02-24T00:00:00,820666952.883381,90590.4,756547.6056338028
